Danh Mục Nhà Cung Cấp Giải Pháp Bidirectional Security Gateway,,,,,,,,
STT,Company,Country,Founded,Product Name,product_id,Product Category,Website,Short Description
11,Everfox,Mỹ,1999,Everfox High Assurance Cross Domain Gateway,everfox-high-assurance-cross-domain-gateway,Cross Domain Security Gateway,https://www.everfox.com,Cung cấp giải pháp Cross Domain đáp ứng tiêu chuẩn NCDSMO/Raise the Bar cho phép trao đổi dữ liệu hai chiều có kiểm soát.
12,BAE Systems,Vương quốc Anh,1999,BAE Systems Cross Domain Solution,bae-systems-cross-domain-solution,Cross Domain Security Gateway,https://www.baesystems.com,"Phát triển cổng bảo mật hai chiều cấp độ quốc phòng, hỗ trợ chia sẻ thông tin an toàn giữa các cấp độ mật khác nhau."
13,General Dynamics Mission Systems,Mỹ,1952,TACLANE Cross Domain Gateway,taclane-cross-domain-gateway,Military Security Gateway,https://gdmissionsystems.com,Cung cấp các thiết bị cổng an toàn mạng hai chiều và mã hóa phần cứng cho môi trường quốc phòng và chính phủ.
14,Lockheed Martin,Mỹ,1995,Radiant Mercury,radiant-mercury,Defense Cross Domain Gateway,https://lockheedmartin.com,Phát triển giải pháp cổng Cross Domain hai chiều tự động hóa việc rà soát và gạt bỏ dữ liệu nhạy cảm trước khi truyền qua ranh giới mạng.
15,Terafence,Israel,2014,Terafence V-Gate,terafence-v-gate,Industrial OT/IoT Gateway,https://terafence.com,"Cung cấp thiết bị phần cứng vi xử lý cách ly đường truyền dữ liệu hai chiều an toàn cho thiết bị OT, IoT và hệ thống giám sát video."
16,Moxa Inc.,Đài Loan,1987,EDR-810 / EDR-G9000 Series,edr-810-edr-g9000-series,Industrial Security Gateway,https://www.moxa.com,Sản xuất các cổng an toàn công nghiệp tích hợp Firewall/NAT/VPN bảo vệ kết nối hai chiều giữa các vùng mạng sản xuất.
17,HMS Networks (Anybus),Thụy Điển,1988,Anybus Industrial Security Gateway,anybus-industrial-security-gateway,Industrial Network Gateway,https://www.hms-networks.com,Cung cấp thiết bị cổng chuyển đổi giao thức và bảo mật giao tiếp hai chiều cho các mạng tự động hóa công nghiệp.
18,Phoenix Contact,Đức,1923,FL MGUARD Industrial Gateway,fl-mguard-industrial-gateway,Industrial Security Gateway,https://www.phoenixcontact.com,"Cung cấp cổng an toàn mạng công nghiệp hỗ trợ lọc gói tin hai chiều, kiểm soát truy cập và bảo vệ mạng OT."
19,Hirschmann (Belden),Đức,1924,Eagle20/30 Security Gateway,eagle20-30-security-gateway,Industrial Security Gateway,https://www.hirschmann.com,Sản xuất thiết bị cổng bảo mật công nghiệp chuyên dụng bảo vệ đường truyền hai chiều trong môi trường tự động hóa khắt khe.
20,Toshiba Corporation,Nhật Bản,1875,Toshiba Industrial Security Gateway,toshiba-industrial-security-gateway,Industrial OT Security Gateway,https://www.toshiba.com,Cung cấp giải pháp cổng bảo mật OT kiểm soát luồng truyền dữ liệu hai chiều giữa hạ tầng điều khiển và hệ thống quản lý.
21,Yokogawa Electric,Nhật Bản,1915,CENTUM VP Security Gateway,centum-vp-security-gateway,ICS / OT Security Gateway,https://www.yokogawa.com,Phát triển các thiết bị cổng an toàn mạng được thiết kế tối ưu riêng cho hệ thống điều khiển phân tán DCS và SCADA.
22,Honeywell International,Mỹ,1906,Honeywell SMX Gateway,honeywell-smx-gateway,OT Security Gateway,https://www.honeywell.com,Cung cấp giải pháp cổng trao đổi dữ liệu hai chiều an toàn cho tệp tin và thiết bị ngoại vi trong môi trường công nghiệp.
23,ABB,Thụy Sĩ,1988,ABB Ability Security Gateway,abb-ability-security-gateway,OT / Industrial Security Gateway,https://abb.com,Phát triển các cổng bảo mật kết nối hai chiều an toàn giữa thiết bị trường OT và hệ thống điều khiển trung tâm.
24,Schneider Electric,Pháp,1836,ConneXium Security Gateway,connexium-security-gateway,OT Security Gateway,https://se.com,Sản xuất các cổng an toàn mạng công nghiệp giúp phân đoạn và kiểm soát lưu lượng hai chiều giữa các phân vùng mạng OT.
25,Rockwell Automation,Mỹ,1903,Allen-Bradley Stratix Security Gateway,allen-bradley-stratix-security-gateway,Industrial Security Gateway,https://www.rockwellautomation.com,Cung cấp giải pháp cổng bảo mật tích hợp sâu vào hạ tầng mạng EtherNet/IP để quản lý luồng dữ liệu hai chiều an toàn.
26,Check Point Software,Israel,1993,Check Point Quantum Rugged Gateway,check-point-quantum-rugged-gateway,Industrial / Enterprise Gateway,https://www.checkpoint.com,Cung cấp dòng cổng bảo mật cứng hóa chống chịu môi trường khắc nghiệt với khả năng kiểm soát truy cập hai chiều.
27,Fortinet,Mỹ,2000,FortiGate Rugged Security Gateway,fortigate-rugged-security-gateway,Industrial Security Gateway,https://www.fortinet.com,Phát triển thiết bị cổng an toàn chuyên dụng cho OT/ICS hỗ trợ nhận diện giao thức công nghiệp và kiểm soát luồng hai chiều.
28,Palo Alto Networks,Mỹ,2005,PA-220R / PA-400R Rugged Series,pa-220r-pa-400r-rugged-series,Industrial Security Gateway,https://www.paloaltonetworks.com,Sản xuất thiết bị cổng bảo mật thế hệ mới chuẩn công nghiệp giúp phân đoạn và giám sát lưu lượng hai chiều IT/OT.
29,Cisco Systems,Mỹ,1984,Cisco Catalyst Industrial Gateway,cisco-catalyst-industrial-gateway,Industrial / OT Security Gateway,https://www.cisco.com,Cung cấp các cổng an toàn mạng công nghiệp tích hợp khả năng kiểm soát chính sách an ninh hai chiều và nhận diện thiết bị.
30,Trend Micro,Nhật Bản,1988,EdgeIPS Industrial Security Gateway,edgeips-industrial-security-gateway,Industrial Security Gateway,https://www.trendmicro.com,Phát triển thiết bị cổng an toàn và phòng chống xâm nhập hai chiều thiết kế riêng cho mạng máy móc công nghiệp.
31,Sophos,Vương quốc Anh,1985,Sophos RED / XGS Gateway,sophos-red-xgs-gateway,Network Security Gateway,https://www.sophos.com,Cung cấp giải pháp cổng an toàn kết nối chi nhánh và phân vùng mạng với cơ chế bảo mật truyền thông hai chiều.
32,TOPSEC Technologies,Trung Quốc,1995,TopRules / ICS Gate,toprules-ics-gate,Industrial Security Gateway,https://www.topsec.com.cn,Phát triển dòng sản phẩm cổng an toàn mạng công nghiệp kiểm soát truy cập và giao thức truyền dữ liệu hai chiều.
33,Venustech,Trung Quốc,1996,Leadsec Industrial Security Gateway,leadsec-industrial-security-gateway,Industrial Security Gateway,https://www.venustech.com.cn,Cung cấp các cổng bảo mật hệ thống điều khiển công nghiệp giúp lọc luồng dữ liệu và phát hiện bất thường hai chiều.
34,DBAPPSECurity,Trung Quốc,2007,Anheng Industrial Security Gateway,anheng-industrial-security-gateway,Industrial Security Gateway,https://www.dbappsecurity.com.cn,Cung cấp cổng bảo mật OT chuyên dụng bảo vệ ranh giới mạng giữa các phân khu sản xuất và văn phòng.
35,NSFOCUS,Trung Quốc,2000,NSFOCUS Industrial Security Gateway,nsfocus-industrial-security-gateway,Industrial Security Gateway,https://www.nsfocusglobal.com,"Phát triển thiết bị cổng an toàn công nghiệp hỗ trợ nhận diện các giao thức Modbus, OPC UA và lọc dữ liệu hai chiều."
36,Sangfor Technologies,Trung Quốc,2000,Sangfor NGAF Security Gateway,sangfor-ngaf-security-gateway,Enterprise / Industrial Gateway,https://www.sangfor.com,Cung cấp thiết bị cổng bảo mật thế hệ mới giám sát và ngăn ngừa mối đe dọa toàn diện cho luồng lưu lượng hai chiều.
37,Stormshield,Pháp,1998,Stormshield Network Security (SNi40),stormshield-network-security-sni40,Industrial Security Gateway,https://www.stormshield.com,"Sản xuất cổng bảo mật mạng công nghiệp đạt chứng nhận an ninh Châu Âu, bảo vệ giao tiếp hai chiều cho hạ tầng tới hạn."
38,Gatewatcher,Pháp,2015,Trackwatch Security Gateway,trackwatch-security-gateway,OT / Network Security Gateway,https://www.gatewatcher.com,Cung cấp cổng an toàn và giải pháp phân tích luồng mạng hai chiều chuyên sâu cho môi trường doanh nghiệp và OT.
39,GENUA GmbH,Đức,1992,genuscreen Security Gateway,genuscreen-security-gateway,High-Assurance Security Gateway,https://www.genua.de,Cung cấp thiết bị cổng an toàn và tường lửa đạt chứng nhận BSI của Đức cho việc kết nối hai chiều giữa các vùng mạng bảo mật.
40,Rohde & Schwarz Cybersecurity,Đức,1933,R&S SITGate,r-s-sitgate,Government / Enterprise Gateway,https://www.rohde-schwarz.com,Chuyên sản xuất các giải pháp cổng an toàn truyền thông mã hóa và bảo vệ ranh giới mạng hai chiều cấp độ chính phủ.
41,Thales Group,Pháp,2000,Thales High-Assurance Gateway,thales-high-assurance-gateway,Defense & Cross Domain Gateway,https://www.thalesgroup.com,Cung cấp hệ thống cổng an toàn Cross Domain hai chiều phục vụ nhu cầu truyền tải dữ liệu bảo mật trong ngành quốc phòng.
42,Fibersystem,Thụy Điển,1982,Fibersystem Secure Gateway,fibersystem-secure-gateway,Secure Hardware Gateway,https://www.fibersystem.com,Cung cấp các giải pháp cổng bảo mật dựa trên phần cứng quang học hỗ trợ kết nối hai chiều an toàn chống rò rỉ tín hiệu.
43,Nozomi Networks,Mỹ,2013,Guardian Security Gateway,guardian-security-gateway,OT Security Gateway,https://www.nozominetworks.com,Cung cấp giải pháp cổng giám sát và bảo mật ranh giới hai chiều cho mạng OT/ICS và IoT công nghiệp.
44,Radiflow,Israel,2011,iSEG Industrial Security Gateway,iseg-industrial-security-gateway,Industrial OT Gateway,https://radiflow.com,Sản xuất cổng an toàn mạng công nghiệp tích hợp DPI (Deep Packet Inspection) cho các giao thức ICS hai chiều.
45,WAGO,Đức,1951,WAGO Industrial Security Gateway,wago-industrial-security-gateway,Industrial Security Gateway,https://www.wago.com,Cung cấp giải pháp cổng bảo mật công nghiệp nhỏ gọn hỗ trợ VPN/Firewall bảo vệ kết nối hai chiều cho tủ điều khiển.
46,Red Lion Controls,Mỹ,1972,FlexEdge Intelligent Gateway,flexedge-intelligent-gateway,Industrial Edge Gateway,https://www.redlion.net,Sản xuất nền tảng cổng an toàn công nghiệp hỗ trợ chuyển đổi giao thức và bảo mật truyền dữ liệu hai chiều.
47,Lantech Communications,Đài Loan,1986,Lantech Industrial Security Gateway,lantech-industrial-security-gateway,Rugged Security Gateway,https://www.lantechcom.tw,Cung cấp các thiết bị cổng an toàn mạng chuẩn công nghiệp hỗ trợ mã hóa và lọc dữ liệu hai chiều cho ngành giao thông và năng lượng.
48,Advantech,Đài Loan,1983,Advantech UNO / ECU Series,advantech-uno-ecu-series,Industrial Security Gateway,https://www.advantech.com,Cung cấp các thiết bị cổng an toàn phần cứng công nghiệp phục vụ kết nối hai chiều giữa thiết bị trường và hạ tầng Cloud/IT.
49,Axiomtek,Đài Loan,1990,Axiomtek IFW Series,axiomtek-ifw-series,Industrial Security Gateway,https://www.axiomtek.com,Sản xuất dòng cổng bảo mật mạng công nghiệp hỗ trợ tường lửa và quản lý luồng dữ liệu hai chiều cho nhà máy thông minh.
50,Lanner Electronics,Đài Loan,1986,Lanner ICS Security Gateway,lanner-ics-security-gateway,Industrial Hardware Gateway,https://www.lannerinc.com,Chuyên sản xuất các thiết bị phần cứng cổng an toàn mạng OT/ICS hỗ trợ các ứng dụng bảo mật hai chiều ranh giới.
51,DiodeGate,Liên minh Châu Âu,Không công bố công khai,DiodeGate Security Gateway,diodegate-security-gateway,Secure Network Gateway,https://www.diodegate.com,Cung cấp các giải pháp cổng chuyển giao dữ liệu an toàn hỗ trợ các cấu hình truyền dữ liệu một chiều và hai chiều có kiểm soát.
52,Endian,Ý,2003,Endian 4i Industrial Security Gateway,endian-4i-industrial-security-gateway,Industrial Security Gateway,https://www.endian.com,Cung cấp giải pháp cổng an toàn công nghiệp hỗ trợ quản lý mối đe dọa toàn diện và kết nối hai chiều an toàn cho hạ tầng OT.
